package,upstream,suse
bmake,20220928,20200606-150400.1.4
buildah,1.27.2,1.27.1-150400.3.8.1
conmon,2.1.5,2.0.30-150400.1.6
distribution,2.8.1,2.8.1-150400.9.11.1
containerized-data-importer,1.55.1,1.51.0-150400.4.7.1
kubevirt,0.58.0,0.54.0-150400.3.7.1
libseccomp,2.5.4,
podman,4.3.1,3.4.7-150400.4.6.1
sle-module-containers-release,,
kubernetes1.23,,
python-arrow,0.7.0,
python-cassandra-driver,3.11.0,
python-geomet,,
kubernetes1.18,,
libnvidia-container,1.12.0-rc.2,1.11.0-150200.5.6.1
nvidia-container-runtime,3.11.0,3.5.0-5.3.1
nvidia-container-toolkit,1.12.0-rc.2,1.11.0-150200.5.6.1
obs-service-docker_label_helper,,0.0-5.6.1
cni,1.1.1,0.7.1-3.5.3
cni-plugins,1.1.2,0.8.6-3.8.1
fuse-overlayfs,1.10,1.1.2-3.9.1
python-kubernetes,25.3.0,8.0.1-150100.3.7.1
slirp4netns,1.2.0,0.4.7-3.15.1
catatonit,0.1.7,0.1.5-3.3.2
container-diff,,0.15.0-1.4.2
container-suseconnect,,2.3.0-4.17.1
containerd,1.6.10,1.6.6-150000.73.2
docker,22.06.0-beta.0,20.10.17_ce-150000.169.1
golang-github-docker-libnetwork,,0.7.0.1+gitr2908_55e924b8a842-4.31.1
docker-runc,,1.0.0rc10+gitr3981_dc9208a3303f-6.45.3
helm,3.10.2,3.9.4-150000.1.10.3
helm-mirror,,0.3.1-150000.1.13.1
runc,1.1.4,1.1.4-150000.36.1
zypper-docker,,2.0.0-3.5.1
